AI Tools Usage Survey ,,,,,,,
,,,,,,,
No.,"How often do you use AI tools
(e.g. ChatGPT, Gemini) for
academic purposes?","How many hours per week
do you use AI tools
for studying?","How often do you copy AI-generated
content directly into
your assignments?","Using AI tools has improved my academic grades
Rate from 1 (Strongly Disagree) to 5 (Strongly Agree)","I feel I cannot complete my assignments without AI tools
Rate from 1 (Strongly Disagree) to 5 (Strongly Agree)","Using AI tools has improved my ability to think critically and solve problems independently
Rate from 1 (Strongly Disagree) to 5 (Strongly Agree)","GPA
(last semester)"
1,Often,4-6 hours,Rarely,4,1,3,2.5
2,Daily,4-6 hours,Often,5,5,2,4
3,Often,1-3 hours,Sometimes,3,3,4,3
4,Often,4-6 hours,Sometimes,4,3,2,4
5,Often,less than 1 hours,Sometimes,3,3,3,3
6,Daily,1-3 hours,Never,3,4,2,3.5
7,Daily,More than 6 hours,Often,4,3,4,3.5
8,Sometimes,1-3 hours,Sometimes,3,3,3,3
9,Daily,less than 1 hours,Rarely,4,2,4,2
10,Daily,1-3 hours,Sometimes,4,3,3,4
11,Often,1-3 hours,Rarely,4,5,2,3
12,Daily,1-3 hours,Always,4,3,4,2.5
13,Often,1-3 hours,Sometimes,2,2,3,4
14,Daily,4-6 hours,Sometimes,4,2,3,4
15,Daily,4-6 hours,Often,1,4,3,3
16,Often,4-6 hours,Rarely,4,3,4,3.5
17,Never,0 hours,Never,1,1,1,3
18,Often,less than 1 hours,Often,4,2,5,2
19,Often,1-3 hours,Sometimes,3,4,3,3
20,Often,4-6 hours,Always,3,3,4,4
21,Daily,More than 6 hours,Rarely,2,3,3,3.5
22,Daily,less than 1 hours,Sometimes,2,4,4,3
23,Daily,More than 6 hours,Rarely,5,3,3,3
24,Often,4-6 hours,Sometimes,3,3,1,3
25,Daily,4-6 hours,Often,5,5,3,3.5
26,Often,1-3 hours,Sometimes,3,2,4,3
27,Sometimes,less than 1 hours,Sometimes,3,3,3,3
28,Daily,More than 6 hours,Often,4,4,4,3.5
29,Often,1-3 hours,Sometimes,3,3,3,3.5
30,Daily,less than 1 hours,Often,3,3,4,3
31,Daily,1-3 hours,Sometimes,3,3,4,3
32,Daily,1-3 hours,Sometimes,5,4,4,3
33,Daily,1-3 hours,Sometimes,4,3,2,3
34,Sometimes,1-3 hours,Sometimes,3,3,4,3
35,Sometimes,4-6 hours,Often,4,3,5,4
36,Daily,4-6 hours,Sometimes,4,3,3,2.5
37,Often,1-3 hours,Rarely,4,3,2,3
38,Daily,1-3 hours,Sometimes,3,3,4,3.5
39,Daily,less than 1 hours,Rarely,2,3,3,2
40,Daily,1-3 hours,Never,5,3,5,4
41,Daily,4-6 hours,Sometimes,5,4,4,3.5
42,Daily,0 hours,Rarely,4,4,4,2
43,Often,4-6 hours,Sometimes,3,5,4,2
44,Often,less than 1 hours,Sometimes,4,3,3,3.5
45,Often,less than 1 hours,Sometimes,3,3,3,2.5
46,Daily,1-3 hours,Rarely,5,3,2,3.5
47,Daily,1-3 hours,Always,2,5,2,4
48,Daily,4-6 hours,Sometimes,4,2,1,3.5
49,Often,1-3 hours,Sometimes,3,3,4,3
50,Daily,4-6 hours,Sometimes,5,4,2,4
51,Often,More than 6 hours,Sometimes,5,3,2,4
52,Daily,1-3 hours,Often,5,3,4,2
53,Daily,1-3 hours,Often,4,4,2,3
54,Daily,1-3 hours,Rarely,5,3,4,3.5
55,Often,1-3 hours,Rarely,4,3,2,3
56,Daily,less than 1 hours,Sometimes,4,4,3,4
57,Daily,1-3 hours,Sometimes,5,2,3,3
